Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AU-TAS,2023-06-19T14:00:00.000Z,22,2023-06-19T15:57:11.598Z,2023-06-16T14:57:25.311Z,lifecycle,False,
AU-TAS,2023-06-19T15:00:00.000Z,22,2023-06-19T16:57:41.157Z,2023-06-16T15:56:16.657Z,lifecycle,False,
AU-TAS,2023-06-19T16:00:00.000Z,22,2023-06-19T17:53:11.616Z,2023-06-16T16:53:59.551Z,lifecycle,False,
AU-TAS,2023-06-19T17:00:00.000Z,23,2023-06-19T18:55:21.801Z,2023-06-16T17:55:45.065Z,lifecycle,False,
AU-TAS,2023-06-19T18:00:00.000Z,23,2023-06-19T19:52:07.395Z,2023-06-16T18:53:05.927Z,lifecycle,False,
AU-TAS,2023-06-19T19:00:00.000Z,29,2023-06-19T20:51:50.400Z,2023-06-16T19:58:41.526Z,lifecycle,False,
AU-TAS,2023-06-19T20:00:00.000Z,37,2023-06-19T21:52:37.819Z,2023-06-16T20:58:03.977Z,lifecycle,False,
AU-TAS,2023-06-19T21:00:00.000Z,48,2023-06-19T22:56:27.680Z,2023-06-16T21:53:27.933Z,lifecycle,False,
AU-TAS,2023-06-19T22:00:00.000Z,49,2023-06-19T23:57:34.145Z,2023-06-16T22:53:42.522Z,lifecycle,False,
AU-TAS,2023-06-19T23:00:00.000Z,39,2023-06-20T00:53:41.789Z,2023-06-16T23:57:18.618Z,lifecycle,False,
AU-TAS,2023-06-20T00:00:00.000Z,30,2023-06-20T01:53:28.685Z,2023-06-17T00:53:39.259Z,lifecycle,False,
AU-TAS,2023-06-20T01:00:00.000Z,24,2023-06-20T03:01:02.503Z,2023-06-17T02:01:41.637Z,lifecycle,False,
AU-TAS,2023-06-20T02:00:00.000Z,24,2023-06-20T03:53:10.888Z,2023-06-17T02:54:18.301Z,lifecycle,False,
AU-TAS,2023-06-20T03:00:00.000Z,24,2023-06-20T04:55:06.666Z,2023-06-17T03:55:15.471Z,lifecycle,False,
